mls_number,full_street_address,city,zip_code,latitude,longitude,geocode_status,listing_type,zip_source,audit_status,distance_outside_zip_miles
26875619,"420 S Sepulveda Blvd #3, Los Angeles 90049",Los Angeles,90049,33.973436,-118.394923,success,lease,source_column,outside_zip,6.41726448288842
26880275,"8601 Wilshire Blvd  #902, BEVERLY HILLS 90211",BEVERLY HILLS,90211,34.02300220000001,-118.4931134,success,lease,source_column,outside_zip,6.351529738342267
26876903,"10333 Santa Monica Blvd #10, Los Angeles 90025",Los Angeles,90025,34.0906151,-118.3191479,success,lease,source_column,outside_zip,6.148111505529691
PW26171272MR,"3020 Virginia  #1/2, LOS ANGELES 90016",LOS ANGELES,90016,33.9308988,-118.3962571,cached,lease,source_column,outside_zip,6.061642804102372
SR26145166MR,"42307   61st st w, QUARTZ HILL 93535.0",QUARTZ HILL,93535,34.6505261,-118.238647,,buy,source_column,outside_zip,5.998308989039518
SR25236125MR,"10035 S Western  #103, LOS ANGELES 90047",LOS ANGELES,90047,34.0744549,-118.3092983,,lease,source_column,outside_zip,5.827276496776891
SR25260270MR,"10035 S Western AVE #103, LOS ANGELES 90047",LOS ANGELES,90047,34.0744549,-118.3092983,,lease,source_column,outside_zip,5.827276496776891
SR25161665MR,"10035 S Western AVE #103, LOS ANGELES 90047",LOS ANGELES,90047,34.0744549,-118.3092983,,lease,source_column,outside_zip,5.827276496776891
SR25260444MR,"10035 S Western AVE #102, LOS ANGELES 90047",LOS ANGELES,90047,34.07342,-118.30897,,lease,source_column,outside_zip,5.755937116358329
SR25161691MR,"10035 S Western AVE #106, LOS ANGELES 90047",LOS ANGELES,90047,34.0733575,-118.3091577,,lease,source_column,outside_zip,5.751623922472504
SR25260447MR,"10035 S Western AVE #106, LOS ANGELES 90047",LOS ANGELES,90047,34.0733575,-118.3091577,,lease,source_column,outside_zip,5.751623922472504
SR25260449MR,"10035 S Western AVE #107, LOS ANGELES 90047",LOS ANGELES,90047,34.0732433,-118.3094019,,lease,source_column,outside_zip,5.74377575540314
SR25260249MR,"10035 S Western AVE #105, LOS ANGELES 90047",LOS ANGELES,90047,34.0729467,-118.3093014,,lease,source_column,outside_zip,5.723317453551087
SR25161682MR,"10035 S Western AVE #105, LOS ANGELES 90047",LOS ANGELES,90047,34.0729467,-118.3093014,,lease,source_column,outside_zip,5.723317453551087
SR25161654MR,"10035 S Western AVE #101, LOS ANGELES 90047",LOS ANGELES,90047,34.0729061,-118.30936,,lease,source_column,outside_zip,5.720526320265479
26831243,"2142 S Oak St, Los Angeles 90007",Los Angeles,90007,33.9565622,-118.3660612,,lease,source_column,outside_zip,5.642927189471829
26831245,"2148 S Oak St, Los Angeles 90007",Los Angeles,90007,33.9565622,-118.3660612,,lease,source_column,outside_zip,5.642927189471829
26875843,"11749 Riverside Dr #6, Valley Village 91607",Valley Village,91607,34.1553519,-118.2939248,success,lease,source_column,outside_zip,5.375484716045425
SR26178157MR,"43334 32nd  #34, LANCASTER 93536",LANCASTER,93536,34.6680835,-118.0724051,success,lease,source_column,outside_zip,5.309694983649843
OC26176677MR,"8803 hoover, LOS ANGELES 90044",LOS ANGELES,90044,34.0664447,-118.2843533,reused,lease,source_column,outside_zip,5.293195939989516
SR25251083MR,"14343 Burbank Blvd #305, SHERMAN OAKS 91401",SHERMAN OAKS,91401,34.1841311,-118.3224514,,lease,source_column,outside_zip,5.243517001131319
SW25160267MR,"14730 S Normandie AVE #4, GARDENA 90247",GARDENA,90247,33.797445,-118.2978764,,lease,source_column,outside_zip,5.20368317927664
SR26096168MR,"44150 30th, LANCASTER 93536",LANCASTER,93536,34.6898482,-118.0769062,,lease,source_column,outside_zip,5.060382554495168
BB25056361MR,"4807 St Charles ST #1/2, LOS ANGELES 90019",None,90019,34.0031538,-118.2344459,,lease,address_suffix,outside_zip,5.019470899220273
SR25260437MR,"10035 S Western AVE #104, LOS ANGELES 90047",LOS ANGELES,90047,34.0624447,-118.3089207,,lease,source_column,outside_zip,4.999425553880617
SR25161671MR,"10035 S Western AVE #104, LOS ANGELES 90047",LOS ANGELES,90047,34.0624447,-118.3089207,,lease,source_column,outside_zip,4.999425553880617
26843957,"5805 W 8th St #201, Los Angeles 90036",Los Angeles,90036,34.0431029,-118.2536715,,lease,source_column,outside_zip,4.984878447910293
26641991,"5320 W OLYMPIC  #7, LOS ANGELES 90036",LOS ANGELES,90036,34.0404486,-118.2567586,,lease,source_column,outside_zip,4.865997307469754
SR26192406MR,"44266 27th, LANCASTER 93536",LANCASTER,93536,34.6897995,-118.0813806,success,lease,source_column,outside_zip,4.8057665015201625
OC26176616MR,"1492  W Badillo, SAN DIMAS 91773.0",SAN DIMAS,91773,34.0861195,-117.9360251,success,buy,source_column,outside_zip,4.798934935033409
SR25157583MR,"28947 Thousand Oaks BLVD #206, AGOURA HILLS 91301",AGOURA HILLS,91301,34.17879509999999,-118.8736608,,lease,source_column,outside_zip,4.749265337839942
SR26039708MR,"1326 West Ave H10, LANCASTER 93534",LANCASTER,93534,34.7094567,-118.2514336,,lease,source_column,outside_zip,4.725824306269255
SR25278871MR,"3408 SUNSET BLVD #102, LOS ANGELES 90026",LOS ANGELES,90026,34.0978735,-118.3636988,,lease,source_column,outside_zip,4.662335191678775
SB26140969MR,"11022 Crenshaw BLVD #4, INGLEWOOD 90303",INGLEWOOD,90303,34.0153778,-118.3353623,,lease,source_column,outside_zip,4.577062168920824
SR25256235MR,"44036 25th  #B7, LANCASTER 93536",LANCASTER,93536,34.6914183,-118.0858516,,lease,source_column,outside_zip,4.551251465998748
SR26140541MR,"44036 25th, LANCASTER 93536",LANCASTER,93536,34.6914183,-118.0858516,,lease,source_column,outside_zip,4.551251465998748
26874605,"10660 Wilshire Blvd #101, Los Angeles 90024",Los Angeles,90024,34.0622791,-118.3352193,success,lease,source_column,outside_zip,4.540855836727533
SR26177383MR,"44338 23rd ST, LANCASTER 93536",LANCASTER,93536,34.6957009,-118.0880814,reused,lease,source_column,outside_zip,4.428648137022766
26873517,"105 S Fairfax Ave #305, Los Angeles 90026",Los Angeles,90026,34.0714593,-118.3614301,success,lease,source_column,outside_zip,4.4264945664064985
DW26193178MR,"5939   5th, LOS ANGELES 90043.0",LOS ANGELES,90043,34.065322,-118.3292274,success,buy,source_column,outside_zip,4.254418922236281
TR26201512MR,"5931   5th, LOS ANGELES 90043.0",LOS ANGELES,90043,34.065322,-118.3292274,success,buy,source_column,outside_zip,4.254418922236281
DW26144122MR,"5340   6th, LOS ANGELES 90043.0",LOS ANGELES,90043,34.06467,-118.3416862,,buy,source_column,outside_zip,4.2435933080390615
DW26187069MR,"11306 Rosecrans  #3, NORWALK 90650",NORWALK,90650,33.9030357,-118.1834581,success,lease,source_column,outside_zip,4.229636144431909
26885915,"5553 W 6th St #3-110, LOS ANGELES 90036",LOS ANGELES,90036,34.05491,-118.26478,success,lease,source_column,outside_zip,4.205603306125441
26884773,"5557 W 6th St #3-103, LOS ANGELES 90036",LOS ANGELES,90036,34.05491,-118.26478,success,lease,source_column,outside_zip,4.205603306125441
SR26116133MR,"12203 Magnolia  #107, VALLEY VILLAGE 91607",VALLEY VILLAGE,91607,34.1798003,-118.3156888,,lease,source_column,outside_zip,4.156081661807843
SB26203205MR,"16111 Prairie AVE #101, LAWNDALE 90260",LAWNDALE,90260,33.962187,-118.3442313,success,lease,source_column,outside_zip,4.153418184096167
SB26087026MR,"16111 Prairie AVE #107, LAWNDALE 90260",LAWNDALE,90260,33.9621583,-118.3442092,,lease,source_column,outside_zip,4.151433818422796
PW26143877MR,"3923 S South  Normandie AVE, LOS ANGELES 90037",LOS ANGELES,90037,33.9293965,-118.3003363,,lease,source_column,outside_zip,4.131548004062007
V1-36650VC,"554  W Avenue J11, LANCASTER 93534.0",LANCASTER,93534,34.6791519,-118.239832,,buy,source_column,outside_zip,4.086111790646443
DW23197847,"1243 W Avenue J11, Lancaster 93534",Lancaster,93534,34.6791242,-118.2391486,,buy,source_column,outside_zip,4.047194465635727
SR26182439MR,"1016 W Avenue J14, LANCASTER 93534",LANCASTER,93534,34.6768837,-118.2392873,success,lease,source_column,outside_zip,4.045135641960464
SB25183879MR,"1053 W Ave #J14, LANCASTER 93534",LANCASTER,93534,34.6768837,-118.2392873,,lease,source_column,outside_zip,4.045135641960464
SB25273055MR,"2502 Manhattan Beach BLVD #7, GARDENA 90249",GARDENA,90249,33.8868716,-118.4051104,,lease,source_column,outside_zip,4.029421207289037
SR26097745MR,"12203 Magnolia  #210, VALLEY VILLAGE 91607",VALLEY VILLAGE,91607,34.1773537,-118.3176882,,lease,source_column,outside_zip,4.027715693739644
26829217,"12235 Magnolia  #306, Los Angeles 91607",Los Angeles,91607,34.1771669,-118.3182918,,lease,source_column,outside_zip,3.992153264087613
